phase,iteration,size,m,N,time,lower_0,lower_1,lower_2,lower_3,upper_0,upper_1,upper_2,upper_3
1,1,114314.93189757894,58,100,0.23779141390696168,115.47199577735259,-129.0876125226221,45.0,-35.0,135.0,-107.5,60.19362964401001,-17.1524358593401
1,2,1619599.0687151384,68,100,0.46997114596888423,100.47199577735259,-132.30397011084116,35.0,-45.0,150.0,-95.0,59.27425585731882,-8.887653348665474
1,3,5974414.072796997,74,100,0.6807530769146979,108.64721739188514,-144.80397011084116,25.0,-55.0,150.0,-82.5,67.63480650517738,-0.6110639703538396
1,4,9096329.559716556,73,100,0.8913098489865661,102.1911153435964,-138.7690738204348,15.0,-65.0,150.0,-70.0,77.63480650517738,-20.827837727274428
1,5,18586293.637018528,69,100,1.1158662548987195,95.19491760969618,-145.56635876490444,5.0,-75.0,150.0,-57.5,65.00884196334576,-10.827837727274428
1,6,31927618.992566418,82,100,1.28116841299925,86.66959139780364,-148.2146119051348,-5.0,-85.0,150.0,-45.0,57.182070046897245,-6.449693763255425
1,7,59459916.71454788,93,100,1.3687499639345333,83.68345828866468,-149.05269904406654,-15.0,-95.0,150.0,-32.5,67.18207004689725,-1.3941449480217472
1,8,77325949.34872146,83,100,1.5301663039717823,72.79362721228522,-150.0,-25.0,-100.0,150.0,-21.3935518550895,56.43054825228222,-4.363866774870644
1,9,89404952.0083963,84,100,1.6855082910042256,79.03384550950544,-134.88000705003694,-35.0,-100.0,150.0,-8.893551855089498,65.06097040101572,-0.0640523555387773
1,10,118737624.73723978,85,100,1.8361077120061964,64.3503999303575,-147.38000705003694,-45.0,-100.0,150.0,3.6064481449105017,42.06033374988512,5.464112116343813
1,11,159573084.33363804,92,100,1.9321295879781246,60.34763556913266,-145.70790878521058,-55.0,-100.0,150.0,16.1064481449105,40.26509824248886,15.464112116343813
1,12,196117007.46784124,85,100,2.0813123729312792,51.79609058193229,-150.0,-65.0,-100.0,150.0,28.6064481449105,33.51410063263542,13.49871637886551
1,13,235349812.71735188,90,100,2.1947619249112904,57.453959411987924,-150.0,-75.0,-100.0,150.0,41.1064481449105,32.75023586899772,23.49871637886551
1,14,304190199.0403145,91,100,2.2989603399764746,46.80988273303828,-150.0,-85.0,-100.0,150.0,53.6064481449105,35.177654011825254,20.473592555948713
1,15,429445120.4515349,99,100,2.3318899589357898,41.347796389505426,-150.0,-95.0,-100.0,150.0,66.1064481449105,45.177654011825254,30.473592555948713
1,16,533825906.58186823,94,100,2.409848089911975,27.5209295958141,-150.0,-100.0,-100.0,150.0,78.6064481449105,35.72335895291607,40.47359255594871
1,17,552282580.44747,92,100,2.502148217987269,33.762392666383136,-150.0,-100.0,-100.0,150.0,91.1064481449105,30.96208130098117,50.47359255594871
1,18,617782014.5110424,96,100,2.5626853168942034,18.762392666383136,-150.0,-100.0,-100.0,150.0,100.0,40.96208130098117,33.57791012317341
1,19,557910554.7248843,79,100,2.746392945991829,25.02946861176624,-149.30344830311358,-100.0,-100.0,150.0,100.0,27.454561744300534,40.499018882895854
1,20,454003843.1911949,90,100,2.858774444903247,39.86688938514139,-125.29818835841903,-100.0,-100.0,150.0,97.6787376728062,24.619514061897604,48.35276535181907
1,21,470914209.7030977,91,100,2.9629047049675137,27.519954672000242,-136.12703489208843,-100.0,-100.0,150.0,100.0,2.8265089491889057,58.35276535181907
1,22,609301058.318539,97,100,3.017199794994667,12.519954672000242,-141.10429180583475,-100.0,-100.0,150.0,100.0,9.186028701043327,68.35276535181907
1,23,516491561.5553851,87,100,3.1521180788986385,19.421946240777253,-150.0,-100.0,-100.0,150.0,100.0,6.30761249931092,48.829377684414936
1,24,568221148.0650198,95,100,3.221874021925032,4.4219462407772525,-147.93569167934174,-100.0,-100.0,150.0,100.0,16.30761249931092,35.35499686502172
1,25,550877847.1550275,91,100,3.323894163942896,16.154554533913927,-150.0,-100.0,-100.0,150.0,100.0,13.261350540634623,45.35499686502172
1,26,601878057.520554,94,100,3.403983891941607,6.3447759061674125,-133.73837081600823,-100.0,-100.0,150.0,100.0,15.380348810612759,55.35499686502172
1,27,628721314.2858787,93,100,3.4909357900032774,18.858702923126206,-146.23837081600823,-100.0,-100.0,150.0,100.0,23.915344236718852,57.12232323319924
1,28,585156278.7994069,85,100,3.6380247808992863,11.258929349193046,-150.0,-100.0,-100.0,150.0,100.0,0.946753149025497,67.12232323319924
1,29,687752888.5024542,95,100,3.7074326518923044,0.7250210311523411,-137.2575998026282,-100.0,-100.0,150.0,97.19632496059438,10.946753149025497,77.12232323319924
1,30,578916449.0718029,82,100,3.870952351950109,-14.274978968847659,-148.2478081011129,-100.0,-100.0,150.0,100.0,-10.82034516386561,59.18174440061955
1,31,574852957.0358007,89,100,3.990426216972992,-29.27497896884766,-134.74914068988286,-100.0,-100.0,150.0,100.0,-12.914445436313713,56.85087887769308
2,32,574852957.0358007,662,700,4.130148627911694,-29.27497896884766,-134.74914068988286,-100.0,-100.0,150.0,100.0,-12.914445436313713,56.85087887769308
2,33,418263999.18011224,691,700,9.108400572906248,-0.33955056037014586,-134.74914068988286,-100.0,-100.0,150.0,100.0,-16.45416567157295,41.85623411571953
2,34,379028929.10124564,697,700,10.467626628931612,-0.2154942459356103,-134.74914068988286,-100.0,-100.0,150.0,100.0,-21.145565358884127,36.30992970938328
2,35,368371979.32208395,700,700,11.019256326952018,4.008032918671052,-134.74914068988286,-100.0,-100.0,150.0,100.0,-21.145565358884127,36.30992970938328
